,BestLevel,Benchmark,BenchmarkLevel,BestNDGroups,BestNWGroups,BenchmarkNDGroups,BenchmarkNWGroups,MIDModel,MIDRandom,MIWModel,MIWRandom,NormDModel,NormDRandom,NormWModel,NormWRandom,EDModel,EDRandom,EWModel,EWRandom
130,3,2,3,11,33,3,5,0.0795217308423852,0.000346262859140049,0.00196975325049621,4.826172592339601e-06,10.09316407194137,10.11054341112942,1.828283810864149,1.9749435039043939,0.00029577478854349136,0.00029551489226459666,0.0019347427022478826,0.001937666676254095
131,3,2,4,11,33,1,1,0.0,0.0,0.0,0.0,,,1.1702261818248942,1.1702261818248942,0.0,0.0,0.0,0.0
132,3,2,5,11,33,1,1,0.0,0.0,0.0,0.0,,,1.1702261818248942,1.1702261818248942,0.0,0.0,0.0,0.0
133,3,3,0,11,33,6657,2629,2.1377751172560755,0.810714880399404,0.186702997342551,0.0,10.207282503982873,10.24724703967777,4.585628705589238,5.107403215354363,0.7934730365938992,0.8138222324546833,0.5219705151522825,0.6432992103445753
134,3,3,1,11,33,932,1150,2.1377751172560755,0.14030227621250083,0.10008522095775217,0.00026918502302673993,10.169516812929585,10.24463489421831,3.828264415743414,4.693982344449068,0.1398771707356126,0.14083908129094758,0.2551247335508048,0.3817761882796292
135,3,3,2,11,33,112,371,2.1377751172560755,0.015608437308030349,0.055040978256848824,0.00011372371278077454,10.195538100345754,10.243786461086493,3.03283279991811,4.128324735984128,0.01681087571464196,0.01692295131495366,0.11022252348198062,0.1553664401373113
136,3,3,3,11,33,11,33,2.137775117256076,0.0015370829079352447,0.013354615217285655,2.858284159541931e-05,10.255602386005387,10.221169641463769,2.3404523636497885,2.9184773606405003,0.0014899526455554378,0.0014802273606342215,0.013659833047624052,0.015465297409942859
137,3,3,4,11,33,2,4,0.07200560460686081,0.00023600285034349952,0.0008517687047143792,7.279364659725765e-06,8.194500214501018,9.99483243174129,1.512426575165535,1.8633730540563613,0.00015104474778089715,0.00014772570624830493,0.0012679397713686949,0.0014483937459087593
138,3,3,5,11,33,2,1,0.07200560460686081,0.0001230309530233422,0.0,0.0,8.194500214501018,9.995424392977782,1.1702261818248942,1.1702261818248942,0.00015104474778089715,0.00014772570553281574,0.0,0.0
139,3,3,6,11,33,1,1,0.0,0.0,0.0,0.0,,,1.1702261818248942,1.1702261818248942,0.0,0.0,0.0,0.0
